index,build,test_index,CPU,TIME,processed_pkts,dropped_pkts,run_index
0,Link speed,0,2,0.0,7636907.0,3227007.0,0
1,Link speed,0,2,0.0,8708702.0,3797235.0,1
2,Link speed,0,2,0.0,8676076.0,3742572.0,2
3,Link speed,1,2,1.0,15204844.0,3227007.0,0
4,Link speed,1,2,1.0,17351209.0,3797235.0,1
5,Link speed,1,2,1.0,17209710.0,3742572.0,2
6,Link speed,2,2,2.0,8872173.0,3604563.0,0
7,Link speed,2,2,2.0,8810219.0,3628476.0,1
8,Link speed,3,2,3.0,17369513.0,3604563.0,0
9,Link speed,3,2,3.0,17352868.0,3628476.0,1
10,Link speed,4,2,4.0,25916551.0,3604563.0,0
11,Link speed,4,2,4.0,25884300.0,3628476.0,1
12,Link speed,5,2,5.0,34336627.0,3604563.0,0
13,Link speed,5,2,5.0,34342815.0,3628476.0,1
14,Link speed,6,2,6.0,8896076.0,3506197.0,0
15,Link speed,6,2,6.0,8883119.0,3511010.0,1
16,Link speed,7,2,7.0,17491537.0,3506197.0,0
17,Link speed,7,2,7.0,17443900.0,3511010.0,1
18,Link speed,8,2,8.1,67367487.0,3227007.0,0
19,Link speed,9,2,9.1,75446067.0,3227007.0,0
20,Link speed,9,2,9.1,85219339.0,3797235.0,1
21,Link speed,9,2,9.1,85026303.0,3742572.0,2
22,Link speed,10,2,10.1,83421435.0,3227007.0,0
23,Link speed,10,2,10.1,93676883.0,3797235.0,1
24,Link speed,10,2,10.1,93512537.0,3742572.0,2
25,Link speed,11,2,11.1,85379544.0,3628476.0,0
26,Link speed,12,2,12.1,93850067.0,3604563.0,0
27,Link speed,12,2,12.1,93843820.0,3628476.0,1
28,Link speed,13,2,13.1,102323744.0,3604563.0,0
29,Link speed,13,2,13.1,102195607.0,3628476.0,1
30,Link speed,14,2,14.1,110783739.0,3604563.0,0
31,Link speed,14,2,14.1,110601675.0,3628476.0,1
32,Link speed,15,2,15.1,119291030.0,3604563.0,0
33,Link speed,15,2,15.1,119078437.0,3628476.0,1
34,Link speed,16,2,16.1,133716550.0,3227007.0,0
35,Link speed,16,2,16.1,144375500.0,3797235.0,1
36,Link speed,16,2,16.1,144296420.0,3742572.0,2
37,Link speed,17,2,17.1,142233977.0,3227007.0,0
38,Link speed,17,2,17.1,152909191.0,3797235.0,1
39,Link speed,17,2,17.1,152818364.0,3742572.0,2
40,Link speed,18,2,18.1,144598871.0,3604563.0,0
41,Link speed,18,2,18.1,144346098.0,3628476.0,1
42,Link speed,19,2,8.0,25893324.0,3506197.0,0
43,Link speed,19,2,8.0,25963173.0,3511010.0,1
44,Link speed,20,4,7,34396522.0,3506197.0,0
45,Link speed,20,4,7,34378905.0,3511010.0,1
46,Link speed,21,4,8,43009421.0,3506197.0,0
47,Link speed,21,4,8,42755396.0,3511010.0,1
48,Link speed,22,4,14.1,94404562.0,3506197.0,0
49,Link speed,22,4,14.1,93683805.0,3511010.0,1
50,Link speed,23,4,15.1,102905362.0,3506197.0,0
51,Link speed,23,4,15.1,102254548.0,3511010.0,1
52,Link speed,24,4,17.1,154342061.0,3642286.0,0
53,Link speed,24,4,17.1,153073822.0,3604563.0,1
54,Link speed,24,4,17.1,152648186.0,3628476.0,2
55,Link speed,25,4,18.1,162859273.0,3642286.0,0
56,Link speed,25,4,18.1,161593422.0,3604563.0,1
57,Link speed,25,4,18.1,161145966.0,3628476.0,2
58,Link speed,26,4,9.0,85465356.0,3604563.0,0
59,Link speed,26,4,9.0,51549574.0,3506197.0,1
60,Link speed,26,4,9.0,51131465.0,3511010.0,2
61,Link speed,27,8,6,60540623.0,3627117.0,0
62,Link speed,27,8,6,60190566.0,3506197.0,1
63,Link speed,27,8,6,59680863.0,3511010.0,2
64,Link speed,28,8,7,68997473.0,3627117.0,0
65,Link speed,28,8,7,68737079.0,3506197.0,1
66,Link speed,28,8,7,68205413.0,3511010.0,2
67,Link speed,29,8,8,77503311.0,3627117.0,0
68,Link speed,29,8,8,77229973.0,3506197.0,1
69,Link speed,29,8,8,76740842.0,3511010.0,2
70,Link speed,30,8,9,86055321.0,3627117.0,0
71,Link speed,30,8,9,85794026.0,3506197.0,1
72,Link speed,30,8,9,85237820.0,3511010.0,2
73,Link speed,31,8,12.1,111647092.0,3627117.0,0
74,Link speed,31,8,12.1,111396360.0,3506197.0,1
75,Link speed,31,8,12.1,110764096.0,3511010.0,2
76,Link speed,32,8,13.1,120066830.0,3627117.0,0
77,Link speed,32,8,13.1,119942726.0,3506197.0,1
78,Link speed,32,8,13.1,119313600.0,3511010.0,2
79,Link speed,33,8,14.1,128493185.0,3627117.0,0
80,Link speed,33,8,14.1,128455276.0,3506197.0,1
81,Link speed,33,8,14.1,127855280.0,3511010.0,2
82,Link speed,34,8,15.1,137047773.0,3627117.0,0
83,Link speed,34,8,15.1,136944942.0,3506197.0,1
84,Link speed,34,8,15.1,136441535.0,3511010.0,2
85,Link speed,35,8,16.1,145537970.0,3627117.0,0
86,Link speed,35,8,16.1,145505262.0,3506197.0,1
87,Link speed,35,8,16.1,144973015.0,3511010.0,2
88,Link speed,36,8,17.1,154029749.0,3627117.0,0
89,Link speed,36,8,17.1,153960969.0,3506197.0,1
90,Link speed,36,8,17.1,153558934.0,3511010.0,2
91,Link speed,37,8,18.1,162687709.0,3627117.0,0
92,Link speed,37,8,18.1,162488477.0,3506197.0,1
93,Link speed,37,8,18.1,162107793.0,3511010.0,2
