index,build,test_index,CPU,avg_good_pps,avg_good_bps,NBREQ,THROUGHPUT,REQUEST,LATENCY,tot_processed_pkts,tot_dropped_pkts,pc_dropped_pkts,zero_loss_throughput,run_index,HTTPTIMEOUT,avg_ingress_bps,avg_ingress_pps,avg_process_bps,avg_process_pps,hw_dropped_pkts,sw_dropped_pkts,percent_dropped
0,Link speed,0,1,8555115.83842,59323386717.7,649867.0,6816805055.24,25977.112333999998,0.65395839,154833160.0,0.0,0.0,59323386717.7,0,,,,,,,,
1,Link speed,0,1,8541776.2,59193774817.2,648357.0,6805127128.289998,25932.54662,3.5168749700000004,154586980.0,0.0,0.0,59193774817.2,1,,,,,,,,
2,Link speed,0,1,8529192.3,59171642247.6,648967.0,6811597353.659998,25957.326278,3.7432632999999997,154415951.0,0.0,0.0,59171642247.6,2,,,,,,,,
3,Link speed,1,2,7913434.0783,54589722557.9,601396.0,6312206819.719999,24054.247123999998,4.32794584,143051962.0,0.0,0.0,54589722557.9,0,,,,,,,,
4,Link speed,1,2,8439843.10784,58797756329.0,644887.0,6768764979.799999,25793.962034000007,1.79083199,152590017.0,0.0,0.0,58797756329.0,1,,,,,,,,
5,Link speed,1,2,8443789.55,58854487649.2,644738.0,6767294841.030002,25788.319526,2.65063591,152655789.0,0.0,0.0,58854487649.2,2,,,,,,,,
6,Link speed,2,4,8522320.4,59177468815.2,647557.0,6794934062.580002,25893.741921999997,1.7665466399999998,153937389.0,0.0,0.0,59177468815.2,0,,,,,,,,
7,Link speed,2,4,8460642.7,58953107524.8,645899.0,6769564984.14,25796.993835,0.92025277,152721249.0,0.0,0.0,58953107524.8,1,,,,,,,,
8,Link speed,2,4,8437649.05,58788782556.4,644254.0,6762097976.320002,25768.644728000003,1.7604015800000001,152335747.0,0.0,0.0,58788782556.4,2,,,,,,,,
9,Link speed,3,8,8521074.50373,59243435669.4,648361.0,6805196597.540002,25932.988663,3.0573218,153683362.0,0.0,0.0,59243435669.4,0,1.0,,,,,,,
10,Link speed,3,8,8510212.45,59177860902.0,646140.0,6781866861.500001,25843.916821000003,2.38140486,153592401.0,0.0,0.0,59177860902.0,1,,,,,,,,
11,Link speed,3,8,8490998.64993,59006871401.6,644649.0,6766270248.389998,25784.572261999998,3.41542338,153224674.0,0.0,0.0,59006871401.6,2,,,,,,,,
12,Retina,0,1,4399032.3125,28062900903.0,649938.0,6821015099.03,25993.068981999997,1.50522679,,66678002.0,,,0,,60854828380.5,8566394.4375,28062900903.0,4399032.3125,0.0,66678002.0,48.647948158410955
13,Retina,0,1,4396580.723795238,28048664599.537468,651546.0,6836062744.93,26050.761191999998,3.92553129,,66971262.0,,,1,,61094985019.56372,8582657.916119756,28048664599.537468,4396580.723795238,0.0,66971262.0,48.772367939559004
14,Retina,0,1,4397053.6875,28054278988.0,647069.0,6791726498.360001,25881.418359000003,4.07186753,,66155092.0,,,2,,60606499075.5,8531739.25,28054278988.0,4397053.6875,0.0,66155092.0,48.462489638323156
