index,build,test_index,GEN_RATE,TIME,processed_pkts,dropped_pkts,run_index
0,Link speed,0,5000,0.0,1607236.0,668962.0,0
1,Link speed,0,5000,0.0,1621931.0,678813.0,1
2,Link speed,0,5000,0.0,1617344.0,669356.0,2
3,Link speed,1,5000,1.0,3207971.0,668962.0,0
4,Link speed,1,5000,1.0,3225330.0,678813.0,1
5,Link speed,1,5000,1.0,3209269.0,669356.0,2
6,Link speed,2,5000,2.0,4804438.0,668962.0,0
7,Link speed,2,5000,2.0,4786574.0,678813.0,1
8,Link speed,2,5000,2.0,4799904.0,669356.0,2
9,Link speed,3,5000,3.0,6387364.0,668962.0,0
10,Link speed,3,5000,3.0,6373230.0,678813.0,1
11,Link speed,3,5000,3.0,6376194.0,669356.0,2
12,Link speed,4,5000,4.0,7932203.0,668962.0,0
13,Link speed,4,5000,4.0,7968863.0,678813.0,1
14,Link speed,4,5000,4.0,7963616.0,669356.0,2
15,Link speed,5,5000,5.0,9528234.0,668962.0,0
16,Link speed,5,5000,5.0,9524999.0,678813.0,1
17,Link speed,5,5000,5.0,9561379.0,669356.0,2
18,Link speed,6,5000,6.0,11143759.0,668962.0,0
19,Link speed,6,5000,6.0,11178736.0,678813.0,1
20,Link speed,6,5000,6.0,11176388.0,669356.0,2
21,Link speed,7,5000,7.0,12720191.0,668962.0,0
22,Link speed,7,5000,7.0,12746727.0,678813.0,1
23,Link speed,7,5000,7.0,12752501.0,669356.0,2
24,Link speed,8,5000,8.0,14269912.0,668962.0,0
25,Link speed,9,5000,9.1,15850768.0,668962.0,0
26,Link speed,9,5000,9.1,15976427.0,678813.0,1
27,Link speed,9,5000,9.1,15901859.0,669356.0,2
28,Link speed,10,5000,10.1,17474633.0,668962.0,0
29,Link speed,10,5000,10.1,17559649.0,678813.0,1
30,Link speed,10,5000,10.1,17550641.0,669356.0,2
31,Link speed,11,5000,11.1,19058454.0,668962.0,0
32,Link speed,11,5000,11.1,19084726.0,678813.0,1
33,Link speed,11,5000,11.1,19126319.0,669356.0,2
34,Link speed,12,5000,12.1,20623719.0,668962.0,0
35,Link speed,12,5000,12.1,20735645.0,678813.0,1
36,Link speed,12,5000,12.1,20713967.0,669356.0,2
37,Link speed,13,5000,13.1,22200884.0,668962.0,0
38,Link speed,13,5000,13.1,22355675.0,678813.0,1
39,Link speed,13,5000,13.1,22300340.0,669356.0,2
40,Link speed,14,5000,14.1,23812724.0,668962.0,0
41,Link speed,14,5000,14.1,23926498.0,678813.0,1
42,Link speed,14,5000,14.1,23896253.0,669356.0,2
43,Link speed,15,5000,15.1,25424127.0,668962.0,0
44,Link speed,15,5000,15.1,25511729.0,678813.0,1
45,Link speed,15,5000,15.1,25506771.0,669356.0,2
46,Link speed,16,5000,16.1,27008025.0,668962.0,0
47,Link speed,16,5000,16.1,27088117.0,678813.0,1
48,Link speed,16,5000,16.1,27100764.0,669356.0,2
