index,build,test_index,GEN_RATE,avg_good_pps,avg_good_bps,NBREQ,THROUGHPUT,REQUEST,LATENCY,tot_processed_pkts,tot_dropped_pkts,pc_dropped_pkts,zero_loss_throughput,run_index,HTTPTIMEOUT,avg_ingress_bps,avg_ingress_pps,avg_process_bps,avg_process_pps,hw_dropped_pkts,sw_dropped_pkts,percent_dropped
0,Link speed,0,5000,1578524.87624,11367523669.4,124736.0,1309124411.6100001,4988.899657999999,0.05688129,28559114.0,0.0,0.0,11367523669.4,0,,,,,,,,
1,Link speed,0,5000,1585708.11459,11378111863.6,124742.0,1309173740.0100002,4989.11511,0.00219991,28683075.0,0.0,0.0,11378111863.6,1,,,,,,,,
2,Link speed,0,5000,1585344.65,11382218755.6,124793.0,1309713621.7800002,4991.172542,0.037290519999999994,28660621.0,0.0,0.0,11382218755.6,2,,,,,,,,
3,Link speed,1,10000,3139408.5,22637276412.8,247597.0,2594581620.98,9887.606245999998,0.16376664999999999,56781422.0,0.0,0.0,22637276412.8,0,,,,,,,,
4,Link speed,1,10000,3139356.15,22569237662.8,247966.0,2598969516.73,9904.382966,0.25402087,56875466.0,0.0,0.0,22569237662.8,1,,,,,,,,
5,Link speed,1,10000,3145640.75,22608191856.4,248043.0,2602259780.9300003,9916.921797,0.19023763,57126610.0,0.0,0.0,22608191856.4,2,,,,,,,,
6,Link speed,2,15000,4749341.03295,33667069027.7,370308.0,3874821936.3100004,14766.436823999999,0.32951488,86298405.0,0.0,0.0,33667069027.7,0,,,,,,,,
7,Link speed,2,15000,4741098.54507,33717448444.4,368760.0,3864970480.390001,14728.779174999996,0.44581787,85893993.0,0.0,0.0,33717448444.4,1,,,,,,,,
8,Link speed,2,15000,4745343.55,33716653596.4,369453.0,3871238934.0600004,14752.743238000003,0.24137941000000002,85752670.0,0.0,0.0,33716653596.4,2,,,,,,,,
9,Link speed,3,20000,6367580.77096,44763335950.4,489935.0,5135123732.050001,19568.749553,0.32781987,115610576.0,0.0,0.0,44763335950.4,0,1.0,,,,,,,
10,Link speed,3,20000,6339410.87946,44546247554.8,491549.0,5156877907.599998,19651.727157,0.20865785999999997,114589825.0,0.0,0.0,44546247554.8,1,1.0,,,,,,,
11,Link speed,3,20000,6340191.1,44578614728.0,488319.0,5112651504.57,19483.372880999996,0.51879889,115259029.0,0.0,0.0,44578614728.0,2,,,,,,,,
12,Link speed,3,20000,6443427.22864,45125187810.6,493843.0,5182127803.940001,19748.081554999997,0.25509661,116641804.0,0.0,0.0,45125187810.6,3,,,,,,,,
13,Link speed,3,20000,6347692.75,44690136954.0,491411.0,5154118275.2699995,19641.270438000003,0.8247365400000001,114721508.0,0.0,0.0,44690136954.0,4,,,,,,,,
14,Link speed,3,20000,6444838.25809,45087942185.3,492509.0,5161588561.150001,19669.716397999997,0.26652203,116461824.0,0.0,0.0,45087942185.3,5,,,,,,,,
15,Link speed,3,20000,6372935.30323,44813954785.9,492241.0,5147945230.65,19617.896901,0.43173715999999995,115479894.0,0.0,0.0,44813954785.9,6,,,,,,,,
16,Link speed,4,25000,7816168.6,54395925360.0,596763.0,6263710624.37,23869.376078,0.40159814,141448936.0,0.0,0.0,54395925360.0,0,,,,,,,,
17,Link speed,4,25000,8042930.2,55948215004.0,612330.0,6425124272.239998,24484.265894999997,0.25740862,145572984.0,0.0,0.0,55948215004.0,1,,,,,,,,
18,Link speed,4,25000,8051734.4,55934418529.2,613190.0,6436015376.599998,24525.927876999995,0.82651751,145726411.0,0.0,0.0,55934418529.2,2,,,,,,,,
19,Link speed,5,30000,8555115.83842,59323386717.7,649867.0,6816805055.24,25977.112333999998,0.65395839,154833160.0,0.0,0.0,59323386717.7,0,,,,,,,,
20,Link speed,5,30000,8541776.2,59193774817.2,648357.0,6805127128.289998,25932.54662,3.5168749700000004,154586980.0,0.0,0.0,59193774817.2,1,,,,,,,,
21,Link speed,5,30000,8529192.3,59171642247.6,648967.0,6811597353.659998,25957.326278,3.7432632999999997,154415951.0,0.0,0.0,59171642247.6,2,,,,,,,,
22,Retina,0,5000,1569830.364397775,11654605685.855366,124678.0,1308481163.52,4986.475781999999,0.04683829,,0.0,,,0,,11654792158.009876,1569872.1170073128,11654605685.855366,1569830.364397775,0.0,0.0,0.0
23,Retina,0,5000,1574533.9708731796,11658647605.975372,124754.0,1309298154.4900002,4989.589241000002,0.02137668,,0.0,,,1,,11658605363.335209,1574580.8488030501,11658647605.975372,1574533.9708731796,0.0,0.0,0.0
24,Retina,0,5000,1568239.2024501532,11645691702.231388,124823.0,1310031653.37,4992.384522,0.0194667,,0.0,,,2,,11645698646.665417,1568231.8894930934,11645691702.231388,1568239.2024501532,0.0,0.0,0.0
25,Retina,1,10000,3146306.83167698,23227890792.17451,240681.0,2524874236.3700004,9621.974165000001,0.16805842000000001,,0.0,,,0,,23228425375.58597,3146361.1475717234,23227890792.17451,3146306.83167698,0.0,0.0,0.0
26,Retina,1,10000,3143789.8125,23188120225.5,247849.0,2597360489.87,9898.216186000001,0.24932589000000002,,0.0,,,1,,23188219084.5,3143798.9375,23188120225.5,3143789.8125,0.0,0.0,0.0
27,Retina,1,10000,3134566.0,23163745874.5,248163.0,2604430031.57,9925.114973999998,0.12240927,,0.0,,,2,,23163987036.5,3134570.25,23163745874.5,3134566.0,0.0,0.0,0.0
28,Retina,2,15000,3920436.8398024878,25024577975.623478,369523.0,3874167237.5099998,14763.857172,0.49005021000000004,,13463694.0,,,0,,34721128161.51009,4762433.152072004,25024577975.623478,3920436.8398024878,0.0,13463694.0,17.67024216341597
29,Retina,2,15000,3913706.1875,24960486005.0,369777.0,3875208034.350001,14767.880736000003,0.51870098,,13174564.0,,,1,,34533441182.5,4737676.3125,24960486005.0,3913706.1875,0.0,13174564.0,17.38004447090432
30,Retina,2,15000,3911466.6541658854,25009215036.939808,369459.0,3872561675.1500006,14757.793254000004,0.64728515,,12886883.0,,,2,,34463035405.71286,4717938.49615601,25009215036.939808,3911466.6541658854,0.0,12886883.0,17.07272213678497
31,Retina,3,20000,4361039.8125,27797684103.5,476650.0,5000933183.7699995,19057.529112000004,0.33414426,,30940609.0,,,0,,45495635438.5,6294816.0625,27797684103.5,4361039.8125,0.0,30940609.0,30.720326746640342
32,Retina,3,20000,4359308.206762923,27786733797.362335,474447.0,4973192111.49,18951.718779,0.38439477,,31141972.0,,,1,,45537473593.5996,6305841.5525970375,27786733797.362335,4359308.206762923,0.0,31141972.0,30.868122671587965
33,Retina,3,20000,4344778.673667104,27686601801.11257,476484.0,4997631704.450001,19045.017488,0.3244809,,31693153.0,,,2,,45676346097.13107,6325779.548721796,27686601801.11257,4344778.673667104,0.0,31693153.0,31.315442727011433
34,Retina,4,25000,4369597.625,27879674567.0,612565.0,6429568560.49,24501.277356000006,0.5803919399999999,,58728616.0,,,0,,57412552501.5,8040157.5625,27879674567.0,4369597.625,0.0,58728616.0,45.652569262071594
35,Retina,4,25000,4386081.0625,27982514738.5,610418.0,6406992368.260001,24415.466756999995,0.89908236,,57755198.0,,,1,,57099783148.5,7995892.6875,27982514738.5,4386081.0625,0.0,57755198.0,45.14442622076523
36,Retina,4,25000,4385353.7096068505,27980967849.490593,609206.0,6394307584.199999,24366.851755,0.0028458000000000003,,57760834.0,,,2,,57029643428.214264,7995700.731295706,27980967849.490593,4385353.7096068505,0.0,57760834.0,45.152737560944374
37,Retina,5,30000,4399032.3125,28062900903.0,649938.0,6821015099.03,25993.068981999997,1.50522679,,66678002.0,,,0,,60854828380.5,8566394.4375,28062900903.0,4399032.3125,0.0,66678002.0,48.647948158410955
38,Retina,5,30000,4396580.723795238,28048664599.537468,651546.0,6836062744.93,26050.761191999998,3.92553129,,66971262.0,,,1,,61094985019.56372,8582657.916119756,28048664599.537468,4396580.723795238,0.0,66971262.0,48.772367939559004
39,Retina,5,30000,4397053.6875,28054278988.0,647069.0,6791726498.360001,25881.418359000003,4.07186753,,66155092.0,,,2,,60606499075.5,8531739.25,28054278988.0,4397053.6875,0.0,66155092.0,48.462489638323156
40,Suricata,0,5000,1535044.3478392705,11070039365.840143,,,,,18427314.0,48334.0,0.2616092274544308,11070039365.840143,0,,,,,,,,
41,Suricata,0,5000,1533374.2695582937,10513458595.182722,,,,,24542244.0,3001556.0,10.897392516646214,,1,,,,,,,,
42,Suricata,0,5000,1594107.625986581,10979103824.282972,,,,,23919349.0,1946542.0,7.52551690564226,,2,,,,,,,,
43,Suricata,1,10000,1971145.4058784447,11972226706.594463,,,,,29576546.0,15423937.0,34.2750476700439,,0,,,,,,,,
44,Suricata,1,10000,2010608.6789618516,12201559551.050032,,,,,30168761.0,23354109.0,43.633887719399205,,1,,,,,,,,
45,Suricata,1,10000,2049378.3289761723,12364823508.955566,,,,,30750514.0,23631234.0,43.454347955126416,,2,,,,,,,,
46,Suricata,2,15000,1912490.2896383614,11737834797.71272,,,,,30611507.0,40889104.0,57.187069352456305,,0,,,,,,,,
47,Suricata,2,15000,1965890.8073247613,12045578850.03015,,,,,31466121.0,46427913.0,59.60393962906068,,1,,,,,,,,
48,Suricata,2,15000,1910096.0600101412,12229564798.02232,,,,,30572669.0,44996326.0,59.543369605484365,,2,,,,,,,,
49,Suricata,3,20000,2059785.5130509827,13317951785.253147,,,,,30908266.0,64071769.0,67.45814422999528,,0,,,,,,,,
50,Suricata,3,20000,2039875.3948190345,12549174003.778965,,,,,32649091.0,65064639.0,66.58699754886032,,1,,,,,,,,
51,Suricata,3,20000,2045332.5677586102,13231048296.171478,,,,,32743500.0,66037253.0,66.85234825047345,,2,,,,,,,,
52,Suricata,4,25000,1895092.032090884,12170292479.032583,,,,,30332212.0,84301473.0,73.5398787886824,,0,,,,,,,,
53,Suricata,4,25000,1988324.395786201,12007076691.464376,,,,,31824146.0,82151640.0,72.07815175760227,,1,,,,,,,,
54,Suricata,4,25000,1959218.4305695673,11833331916.40719,,,,,31358347.0,87196879.0,73.54958692415634,,2,,,,,,,,
55,Suricata,5,30000,1960093.7760120567,12474603631.346365,,,,,31372867.0,92464697.0,74.66611423331938,,0,,,,,,,,
56,Suricata,5,30000,2051395.2700999323,12977373089.1537,,,,,32833687.0,96909732.0,74.69336999667011,,1,,,,,,,,
57,Suricata,5,30000,2018769.0260493378,12261798211.46155,,,,,32311123.0,92417328.0,74.09482540595329,,2,,,,,,,,
